symbol,side,shares,n_executions,avg_fill_price,official_close,close_bar_date,delta,delta_bps,last_exec_time
BSRR,SLD,279,2,35.71,35.82,2026-05-04,-0.11,-30.71,2026-05-04T19:59:37+00:00
BSVN,BOT,237,3,42.7678,42.64,2026-05-04,0.1278,29.98,2026-05-04T19:59:52+00:00
BWFG,BOT,198,1,50.76,50.53,2026-05-04,0.23,45.52,2026-05-04T19:59:33+00:00
COFS,SLD,331,3,30.13,30.23,2026-05-04,-0.1,-33.08,2026-05-04T19:59:36+00:00
CVEO,SLD,325,2,30.73,30.74,2026-05-04,-0.01,-3.25,2026-05-04T19:59:31+00:00
DCO,BOT,73,1,137.21,137.01,2026-05-04,0.2,14.6,2026-05-04T19:59:31+00:00
ELA,BOT,592,5,16.9137,16.76,2026-05-04,0.1537,91.72,2026-05-04T19:59:47+00:00
FMAO,BOT,378,2,26.5541,26.45,2026-05-04,0.1041,39.35,2026-05-04T19:59:41+00:00
GBFH,BOT,347,4,28.6837,28.56,2026-05-04,0.1237,43.31,2026-05-04T19:59:41+00:00
GBLI,SLD,350,2,27.46,27.49,2026-05-04,-0.03,-10.91,2026-05-04T19:59:42+00:00
GLAD,SLD,516,2,19.38,19.36,2026-05-04,0.02,10.33,2026-05-04T19:59:30+00:00
HBCP,SLD,158,1,63.49,63.59,2026-05-04,-0.1,-15.73,2026-05-04T19:59:31+00:00
HCI,BOT,67,1,149.37,149.25,2026-05-04,0.12,8.04,2026-05-04T19:59:30+00:00
ISSC,BOT,491,1,20.32,20.21,2026-05-04,0.11,54.43,2026-05-04T19:59:30+00:00
JOUT,BOT,200,1,50.29,50.23,2026-05-04,0.06,11.95,2026-05-04T19:59:31+00:00
MCB,BOT,113,1,88.11,87.91,2026-05-04,0.2,22.75,2026-05-04T19:59:31+00:00
MCFT,BOT,439,4,22.56,22.5,2026-05-04,0.06,26.67,2026-05-04T19:59:32+00:00
MCI,BOT,566,3,17.6371,17.56,2026-05-04,0.0771,43.89,2026-05-04T19:59:54+00:00
MLR,SLD,211,1,47.4,47.6,2026-05-04,-0.2,-42.02,2026-05-04T19:59:30+00:00
NATH,SLD,100,1,100.25,100.26,2026-05-04,-0.01,-1.0,2026-05-04T19:59:35+00:00
NATR,BOT,384,3,26.1635,26.03,2026-05-04,0.1335,51.3,2026-05-04T19:59:31+00:00
NBN,BOT,81,1,123.49,123.27,2026-05-04,0.22,17.85,2026-05-04T19:59:30+00:00
NC,SLD,209,3,47.51,48.01,2026-05-04,-0.5,-104.14,2026-05-04T19:59:58+00:00
PCB,SLD,415,3,23.73,24.1,2026-05-04,-0.37,-153.53,2026-05-04T19:59:43+00:00
PDLB,SLD,575,4,17.37,17.4,2026-05-04,-0.03,-17.24,2026-05-04T19:59:44+00:00
PKBK,SLD,330,3,30.25,30.28,2026-05-04,-0.03,-9.91,2026-05-04T19:59:36+00:00
PKE,SLD,306,2,32.44,32.4,2026-05-04,0.04,12.35,2026-05-04T19:59:33+00:00
RLGT,BOT,1297,6,7.6624,7.64,2026-05-04,0.0224,29.27,2026-05-04T19:59:52+00:00
RSVR,BOT,1001,5,10.0071,10.01,2026-05-04,-0.0029,-2.94,2026-05-04T19:59:52+00:00
RYAM,BOT,1093,4,9.0036,8.99,2026-05-04,0.0136,15.12,2026-05-04T19:59:30+00:00
SAR,SLD,419,1,23.73,23.89,2026-05-04,-0.16,-66.97,2026-05-04T19:59:30+00:00
SENEA,BOT,71,1,141.8,141.78,2026-05-04,0.02,1.41,2026-05-04T19:59:30+00:00
SFST,SLD,179,2,55.76,55.92,2026-05-04,-0.16,-28.61,2026-05-04T19:59:30+00:00
SOR,SLD,214,1,46.35,46.46,2026-05-04,-0.11,-23.68,2026-05-04T19:59:30+00:00
TCI,BOT,278,3,36.5945,35.99,2026-05-04,0.6045,167.95,2026-05-04T19:59:59+00:00
