to_per_bar,TRAIN_SR_g,TRAIN_SR_n,TRAIN_ret_n,TRAIN_dd_n,TRAIN_n,VAL_SR_g,VAL_SR_n,VAL_ret_n,VAL_dd_n,VAL_n,TEST_SR_g,TEST_SR_n,TEST_ret_n,TEST_dd_n,TEST_n,VT_SR_g,VT_SR_n,VT_ret_n,VT_dd_n,VT_n,FULL_SR_g,FULL_SR_n,FULL_ret_n,FULL_dd_n,FULL_n,rebal_days,excl,avg_active
0.2868,1.7263,0.8458,0.1805,-0.2234,4513,1.5308,0.3662,0.0606,-0.0785,733,2.1767,1.4650,0.3864,-0.1715,682,1.8678,0.9967,0.2177,-0.1715,1414,1.7641,0.8859,0.1901,-0.2234,5926,10,none,29.6963
0.2872,1.6023,0.6973,0.1455,-0.1971,4513,2.1799,1.1399,0.2060,-0.0740,733,1.8907,1.1422,0.2890,-0.1596,682,1.9811,1.1178,0.2443,-0.1596,1414,1.6961,0.8016,0.1692,-0.1971,5926,10,memes,29.6963
0.2850,2.0595,1.1528,0.2374,-0.1856,4513,1.9162,0.7251,0.1160,-0.0720,733,2.3506,1.6311,0.4257,-0.1612,682,2.1178,1.2362,0.2655,-0.1612,1414,2.0737,1.1735,0.2441,-0.1856,5926,20,none,29.3925
0.2840,1.6732,0.7424,0.1484,-0.1805,4513,2.3920,1.3195,0.2300,-0.0560,733,2.4479,1.6872,0.4201,-0.1495,682,2.3826,1.5017,0.3207,-0.1495,1414,1.8519,0.9340,0.1899,-0.1805,5926,20,memes,29.3925
0.2801,1.4869,0.5531,0.1085,-0.1718,4513,3.6563,2.4890,0.4015,-0.0580,733,2.5637,1.8503,0.4803,-0.1597,682,2.9228,2.0513,0.4397,-0.1597,1414,1.8554,0.9382,0.1882,-0.1718,5926,30,none,29.0888
0.2829,1.2687,0.2938,0.0557,-0.1660,4513,3.0462,1.8775,0.3034,-0.0660,733,2.5127,1.7604,0.4412,-0.1391,682,2.6613,1.7595,0.3682,-0.1391,1414,1.6253,0.6701,0.1304,-0.1660,5926,30,memes,29.0888
0.2726,1.7433,0.8374,0.1629,-0.1409,4513,3.4090,2.2024,0.3460,-0.0496,733,2.0633,1.3454,0.3500,-0.1420,682,2.5081,1.6243,0.3461,-0.1420,1414,1.9507,1.0509,0.2092,-0.1420,5926,60,none,28.1775
0.2762,1.4979,0.5458,0.1024,-0.1520,4513,2.3208,1.1067,0.1722,-0.0557,733,2.0942,1.3346,0.3360,-0.1153,682,2.1187,1.2029,0.2497,-0.1153,1414,1.6659,0.7239,0.1394,-0.1520,5926,60,memes,28.1775
0.2649,1.5084,0.5762,0.1044,-0.1424,4513,2.7971,1.4634,0.2101,-0.0633,733,2.0666,0.9662,0.1661,-0.1420,682,2.4027,1.1967,0.1889,-0.1420,1414,1.7127,0.7230,0.1271,-0.1424,5926,90,none,27.2663
0.2649,0.9596,-0.0068,-0.0012,-0.2010,4513,1.8005,0.4617,0.0660,-0.0937,733,2.1670,1.0719,0.1837,-0.1153,682,1.9839,0.7784,0.1224,-0.1153,1414,1.1945,0.1764,0.0301,-0.2010,5926,90,memes,27.2663
0.2586,1.0524,0.1370,0.0243,-0.2234,4513,2.5606,1.2981,0.1976,-0.0644,733,0.4110,-0.3893,-0.0947,-0.2017,682,1.2324,0.2715,0.0547,-0.2061,1414,1.1123,0.1861,0.0341,-0.2608,5926,120,none,26.3550
0.2611,0.8318,-0.1562,-0.0260,-0.2273,4513,2.0281,0.7935,0.1221,-0.0719,733,0.3844,-0.4482,-0.1068,-0.1758,682,1.0258,0.0509,0.0101,-0.2081,1414,0.8925,-0.0890,-0.0156,-0.2885,5926,120,memes,26.3550
