to_per_bar,TRAIN_SR_g,TRAIN_SR_n,TRAIN_ret_n,TRAIN_dd_n,TRAIN_n,VAL_SR_g,VAL_SR_n,VAL_ret_n,VAL_dd_n,VAL_n,TEST_SR_g,TEST_SR_n,TEST_ret_n,TEST_dd_n,TEST_n,VT_SR_g,VT_SR_n,VT_ret_n,VT_dd_n,VT_n,FULL_SR_g,FULL_SR_n,FULL_ret_n,FULL_dd_n,FULL_n,name,top_n,min_hist,rebal_days,n_excl,avg_active,unique_tickers
0.2850,2.0595,1.1528,0.2374,-0.1856,4513,1.9162,0.7251,0.1160,-0.0720,733,2.3506,1.6311,0.4257,-0.1612,682,2.1178,1.2362,0.2655,-0.1612,1414,2.0737,1.1735,0.2441,-0.1856,5926,baseline_TOP30_20d_365d_no_excl,30,365,20,0,29.3925,119
0.2726,1.7433,0.8374,0.1629,-0.1409,4513,3.4090,2.2024,0.3460,-0.0496,733,2.0633,1.3454,0.3500,-0.1420,682,2.5081,1.6243,0.3461,-0.1420,1414,1.9507,1.0509,0.2092,-0.1420,5926,rebal_60d_only,30,365,60,0,28.1775,96
0.2840,1.6732,0.7424,0.1484,-0.1805,4513,2.3920,1.3195,0.2300,-0.0560,733,2.4479,1.6872,0.4201,-0.1495,682,2.3826,1.5017,0.3207,-0.1495,1414,1.8519,0.9340,0.1899,-0.1805,5926,no_memes_only,30,365,20,11,29.3925,127
0.2853,2.4971,1.5985,0.3320,-0.1828,4513,1.9519,0.8535,0.1475,-0.0670,733,2.1936,1.4425,0.3653,-0.1500,682,2.0633,1.1810,0.2543,-0.1500,1414,2.3981,1.5035,0.3151,-0.1828,5926,no_stables_only,30,365,20,5,29.3925,125
0.2762,1.4979,0.5458,0.1024,-0.1520,4513,2.3208,1.1067,0.1722,-0.0557,733,2.0942,1.3346,0.3360,-0.1153,682,2.1187,1.2029,0.2497,-0.1153,1414,1.6659,0.7239,0.1394,-0.1520,5926,60d_no_memes,30,365,60,11,28.1775,97
0.2783,1.8508,0.9587,0.1929,-0.1523,4513,2.2105,0.9564,0.1477,-0.0546,733,1.2882,0.5261,0.1331,-0.1348,682,1.6067,0.6766,0.1406,-0.1357,1414,1.8049,0.9034,0.1832,-0.1523,5926,60d_no_stables,30,365,60,5,28.1775,95
0.2794,1.4364,0.4994,0.0959,-0.2271,4513,1.1742,-0.0679,-0.0106,-0.0652,733,1.3177,0.5146,0.1256,-0.1304,682,1.2378,0.2783,0.0567,-0.1375,1414,1.3932,0.4508,0.0878,-0.2271,5926,60d_no_memes_no_stables,30,365,60,16,28.1775,102
0.2500,1.3901,0.6249,0.1327,-0.1692,4513,2.5443,1.5561,0.2723,-0.0577,733,3.7356,3.2287,1.0617,-0.1197,682,3.1511,2.4995,0.6520,-0.1197,1414,1.8797,1.1493,0.2585,-0.1692,5926,60d_TOP20_no_memes,20,365,60,11,18.7850,69
0.2819,1.3648,0.3050,0.0522,-0.1881,4513,2.0327,0.6735,0.0978,-0.0523,733,1.7032,0.7012,0.1377,-0.1286,682,1.8275,0.6801,0.1169,-0.1429,1414,1.4750,0.3942,0.0675,-0.2005,5926,60d_TOP50_no_memes,50,365,60,11,46.9625,147
0.2720,1.7464,0.8363,0.1620,-0.1210,4513,2.8901,1.7529,0.2917,-0.0520,733,0.9522,0.3525,0.1074,-0.1598,682,1.5841,0.8180,0.1988,-0.1598,1414,1.7024,0.8373,0.1730,-0.1598,5926,60d_TOP30_180d,30,180,60,11,28.1775,118
