expression,is_sharpe,oos_sharpe,oos_pnl,oos_turnover,oos_max_dd
"npfadd(stddev(volume_momentum_5_20, 26), extend(0.539981562598014))",0.015290422609174886,2.236322239955927,576796.9667433198,0.10034506722031707,-0.10115194757963543
"Decay_lin(volume_ratio_20d, 22)",0.009498420445466605,1.7181033660201406,417361.9264263386,0.16165012237692786,-0.10710468607154171
"covariance(parkinson_volatility_10, high_low_range, 36)",0.26997511924623085,1.6398097562574703,473386.2581320642,0.08569825341922013,-0.13714771065249962
"df_min(historical_volatility_60, high)",0.04908349674640423,1.460176716477373,398477.3897214152,0.027491964846199403,-0.18127742215628892
log(adv20),0.09186630190168561,1.2867876322633485,311243.48132681084,0.016567180794826136,-0.09949266923801836
"ts_min(divide(high_low_range, parkinson_volatility_60), extend(38))",0.36106652249783977,1.284291470175443,272596.41650684143,0.08449318874428488,-0.0873119580362256
"sma(divide(high_low_range, parkinson_volatility_60), 22)",0.27868360412989884,1.18432384348533,284818.2982188817,0.11866514018469547,-0.10761110283509871
"covariance(parkinson_volatility_10, momentum_5d, 36)",0.36634825003363536,1.1769810258327158,367876.09185645974,0.08988416240755669,-0.14409726231137762
"ts_skewness(vwap_deviation, 25)",0.3531509567813235,0.9939829590363084,207649.01039313094,0.20265155118790593,-0.14427642870918783
"npfsub(momentum_20d, 0.16512695897412766)",0.016139366505137847,0.7905780560580111,243410.06938094558,0.25934671235574525,-0.18576827090490103
"stddev(parkinson_volatility_60, 37)",0.0395444456899452,0.7662394884103916,217736.65647794894,0.051689453311926585,-0.11725152472670633
"ts_max(historical_volatility_20, 18)",0.035795303290040006,0.6360888920186323,180408.06136638703,0.04581240773600711,-0.16688821881250052
