time,coin,direction,expected_price,actual_price,size,fee,result,pnl,tob_ask,spread,depth_3c,latency_ms,pm_outcome
2026-03-10T16:00:20.609978+00:00,sol,DOWN,0.570,0.550,1.00,0.005,WIN,0.81,0.570,0.010,327.2,788,DOWN
2026-03-10T16:40:00.085720+00:00,btc,DOWN,0.510,0.529,1.00,0.005,LOSS,-1.00,0.510,0.010,200.2,965,UP
2026-03-10T16:40:04.522123+00:00,sol,DOWN,0.590,0.600,1.00,0.005,LOSS,-1.00,0.590,0.010,55.2,753,UP
2026-03-10T17:10:00.298015+00:00,btc,DOWN,0.520,0.510,1.00,0.005,WIN,0.96,0.520,0.010,310.5,932,DOWN
2026-03-10T17:10:02.276086+00:00,eth,DOWN,0.500,0.500,1.00,0.005,WIN,0.99,0.500,0.010,96.2,750,DOWN
2026-03-10T17:10:03.851153+00:00,sol,DOWN,0.490,0.490,1.00,0.005,WIN,1.04,0.490,0.010,109.1,726,DOWN
2026-03-10T17:15:01.887714+00:00,btc,DOWN,0.490,0.490,1.00,0.005,WIN,1.04,0.490,0.010,4043.8,736,DOWN
2026-03-10T17:15:04.574940+00:00,eth,UP,0.520,0.520,1.00,0.005,WIN,0.92,0.520,0.010,141.0,777,UP
2026-03-10T17:15:07.000588+00:00,sol,DOWN,0.540,0.540,1.00,0.005,LOSS,-1.00,0.540,0.010,121.1,721,UP
2026-03-10T17:20:00.934978+00:00,btc,UP,0.500,0.499,1.00,0.005,LOSS,-1.00,0.500,0.010,743.6,793,DOWN
2026-03-10T17:20:03.555508+00:00,eth,UP,0.510,0.480,1.00,0.005,WIN,1.08,0.510,0.020,73.8,744,UP
2026-03-10T17:20:06.011190+00:00,sol,DOWN,0.590,0.590,1.00,0.005,LOSS,-1.00,0.590,0.010,136.7,735,UP
2026-03-10T17:25:03.898206+00:00,eth,UP,0.510,0.510,1.00,0.005,LOSS,-1.00,0.510,0.010,82.3,727,DOWN
2026-03-10T17:25:06.241697+00:00,sol,DOWN,0.550,0.540,1.00,0.005,WIN,0.85,0.550,0.010,14.4,743,DOWN
2026-03-10T17:30:00.106468+00:00,btc,UP,0.510,0.509,1.00,0.005,WIN,0.96,0.510,0.010,233.7,1169,UP
2026-03-10T17:30:03.452057+00:00,eth,UP,0.520,0.490,1.00,0.005,WIN,1.04,0.520,0.010,98.1,707,UP
2026-03-10T17:30:06.180774+00:00,sol,UP,0.500,0.500,1.00,0.005,WIN,0.99,0.500,0.010,112.4,727,UP
2026-03-10T17:35:00.932444+00:00,btc,UP,0.490,0.490,1.00,0.005,LOSS,-1.00,0.490,0.010,30020.0,2024,DOWN
2026-03-10T17:35:04.717529+00:00,eth,UP,0.440,0.380,1.00,0.005,LOSS,-1.00,0.440,0.010,37.2,902,DOWN
2026-03-10T17:40:00.877705+00:00,btc,UP,0.530,0.510,1.00,0.005,WIN,0.96,0.530,0.010,159.3,1250,UP
2026-03-10T17:40:03.831484+00:00,eth,UP,0.530,0.550,1.00,0.005,WIN,0.81,0.530,0.010,63.3,708,UP
2026-03-10T17:40:05.456131+00:00,sol,UP,0.500,0.500,1.00,0.005,WIN,0.99,0.500,0.010,130.2,807,UP
2026-03-10T17:45:00.951691+00:00,btc,UP,0.510,0.490,1.00,0.005,WIN,1.04,0.510,0.010,302.9,2285,UP
2026-03-10T17:45:05.080589+00:00,eth,UP,0.540,0.470,1.00,0.005,WIN,1.12,0.540,0.010,70.7,760,UP
2026-03-10T17:50:00.944311+00:00,btc,UP,0.530,0.530,1.00,0.005,WIN,0.88,0.530,0.020,198.2,987,UP
2026-03-10T17:50:03.672905+00:00,eth,UP,0.640,0.640,1.00,0.005,WIN,0.56,0.640,0.010,97.1,767,UP
2026-03-10T17:50:05.380681+00:00,sol,UP,0.550,0.520,1.00,0.005,WIN,0.92,0.550,0.010,177.0,855,UP
2026-03-10T17:55:00.938676+00:00,btc,UP,0.500,0.470,1.00,0.005,LOSS,-1.00,0.500,0.010,3881.4,879,DOWN
2026-03-10T17:55:06.077554+00:00,sol,UP,0.460,0.460,1.00,0.005,LOSS,-1.00,0.460,0.010,128.3,730,DOWN
2026-03-10T18:00:01.014510+00:00,btc,UP,0.510,0.509,1.00,0.005,LOSS,-1.00,0.510,0.010,365.7,838,DOWN
2026-03-10T18:00:02.774359+00:00,eth,UP,0.480,0.480,1.00,0.005,LOSS,-1.00,0.480,0.030,60.0,784,DOWN
2026-03-10T18:00:05.403734+00:00,sol,UP,0.420,0.420,1.00,0.005,LOSS,-1.00,0.420,0.010,84.1,705,DOWN
2026-03-10T18:05:00.938285+00:00,btc,UP,0.510,0.480,1.00,0.005,LOSS,-1.00,0.510,0.010,700.5,1387,DOWN
2026-03-10T18:05:04.543568+00:00,eth,UP,0.460,0.450,1.00,0.005,LOSS,-1.00,0.460,0.010,64.2,771,DOWN
2026-03-10T18:05:07.139899+00:00,sol,UP,0.420,0.370,1.00,0.005,LOSS,-1.00,0.420,0.010,118.6,756,DOWN
2026-03-10T18:10:01.273561+00:00,btc,UP,0.520,0.510,1.00,0.005,LOSS,-1.00,0.520,0.020,728.2,2023,DOWN
2026-03-10T18:10:05.620155+00:00,eth,UP,0.520,0.510,1.00,0.005,LOSS,-1.00,0.520,0.010,157.1,708,DOWN
2026-03-10T18:10:08.515570+00:00,sol,UP,0.510,0.520,1.00,0.005,LOSS,-1.00,0.510,0.010,96.5,768,DOWN
2026-03-10T18:15:02.523021+00:00,btc,UP,0.540,0.540,1.00,0.005,LOSS,-1.00,0.540,0.010,502.4,2303,DOWN
2026-03-10T18:15:07.021743+00:00,eth,UP,0.510,0.470,1.00,0.005,LOSS,-1.00,0.510,0.010,152.9,777,DOWN
2026-03-10T18:15:09.959286+00:00,sol,UP,0.420,0.410,1.00,0.005,LOSS,-1.00,0.420,0.020,45.5,789,DOWN
2026-03-10T18:30:05.306888+00:00,eth,UP,0.540,0.580,2.00,0.010,WIN,1.44,0.540,0.010,15.8,738,UP
2026-03-10T18:45:00.327103+00:00,btc,UP,0.510,0.486,6.00,0.030,WIN,6.32,0.510,0.010,159.4,2708,UP
2026-03-10T18:45:04.488286+00:00,eth,UP,0.530,0.520,2.00,0.010,WIN,1.84,0.530,0.010,62.2,1056,UP
2026-03-10T18:50:00.368887+00:00,btc,UP,0.520,0.510,4.00,0.020,LOSS,-4.02,0.520,0.010,345.7,754,DOWN
2026-03-10T18:50:06.346466+00:00,sol,UP,0.550,0.560,6.00,0.030,LOSS,-6.03,0.550,0.010,98.4,765,DOWN
2026-03-10T19:04:59.998668+00:00,btc,UP,0.010,0.009,6.00,0.001,LOSS,-6.00,0.010,0.000,270.8,3479,DOWN
2026-03-10T19:05:30.764211+00:00,eth,UP,0.380,0.370,4.00,0.019,WIN,6.79,0.380,0.010,508.4,860,UP
2026-03-10T19:05:38.285281+00:00,sol,UP,0.450,0.440,6.00,0.030,WIN,7.61,0.450,0.010,157.0,747,UP
2026-03-10T19:45:00.468743+00:00,eth,UP,0.500,0.510,1.00,0.005,LOSS,-1.00,0.500,0.010,40.6,743,DOWN
2026-03-10T19:45:02.649319+00:00,sol,UP,0.530,0.520,2.00,0.010,LOSS,-2.01,0.530,0.040,35.1,757,DOWN
2026-03-10T20:55:00.225804+00:00,btc,DOWN,0.500,0.429,2.00,0.010,WIN,2.65,0.500,0.010,169.6,11353,DOWN
2026-03-10T20:55:00.753401+00:00,eth,DOWN,0.500,0.330,1.00,0.005,LOSS,-1.00,0.500,0.010,42.8,12391,UP
2026-03-10T20:55:01.220198+00:00,sol,DOWN,0.480,0.410,2.00,0.010,LOSS,-2.01,0.480,0.060,114.6,13474,UP
2026-03-10T21:05:00.738428+00:00,eth,DOWN,0.590,0.280,2.00,0.010,LOSS,-2.01,0.590,0.110,60.5,16600,UP
2026-03-10T21:05:01.206179+00:00,sol,DOWN,0.500,0.360,2.00,0.010,LOSS,-2.01,0.500,0.010,37.0,17683,UP
2026-03-10T21:10:01.787913+00:00,sol,DOWN,0.500,0.500,2.00,0.010,WIN,1.99,0.500,0.010,40.8,11259,DOWN
2026-03-10T21:45:00.165189+00:00,btc,UP,0.550,0.540,6.00,0.030,LOSS,-6.03,0.550,0.020,141.1,1478,DOWN
2026-03-10T21:45:02.526462+00:00,eth,UP,0.530,0.530,6.00,0.030,LOSS,-6.03,0.530,0.010,50.4,770,DOWN
2026-03-10T21:45:04.956508+00:00,sol,UP,0.440,0.440,4.00,0.020,LOSS,-4.02,0.440,0.010,78.0,763,DOWN
2026-03-11T04:05:00.904146+00:00,eth,UP,0.530,0.480,1.00,0.005,LOSS,-1.00,0.530,0.070,26.5,6386,DOWN
2026-03-11T04:15:00.532182+00:00,eth,DOWN,0.610,0.480,1.00,0.005,LOSS,-1.00,0.610,0.110,62.5,6309,UP
2026-03-11T04:25:00.426214+00:00,eth,DOWN,0.570,0.500,1.00,0.005,LOSS,-1.00,0.570,0.050,249.6,6096,UP
2026-03-11T04:25:00.968570+00:00,sol,DOWN,0.510,0.510,6.00,0.030,LOSS,-6.03,0.510,0.010,36.4,711,UP
2026-03-11T04:30:13.049977+00:00,sol,DOWN,0.570,0.563,6.00,0.029,LOSS,-6.03,0.570,0.010,87.7,727,UP
2026-03-11T04:55:00.382570+00:00,eth,DOWN,0.500,0.530,1.00,0.005,WIN,0.88,0.500,0.010,467.1,6346,DOWN
